word,nbhd_dist_100,word2vec_recipe_base_nbhd_dist_100,ambiguity_type
despair,0.3817786028506347,0.2075047,P
exist,0.5367336580298161,0.22795942,P
horrible,0.3780049930374818,0.18010187,P
landmark,0.5973700761857217,0.13078429,P
maximum,0.5772036868223008,0.4325657,P
cram,0.5563082265487062,0.45373422,P
draw,0.5533048292269921,0.39179656,P
gender,0.4934887508450646,0.2285327,P
approach,0.5144132575810141,0.26588804,P
precision,0.5022305408609067,0.37870216,P
dealer,0.5422443977412226,0.1690265,P
leak,0.5218900782787668,0.43245152,P
value,0.5443913859774926,0.2655472,P
myth,0.4426307895664852,0.09762766,P
blueprint,0.5406929148748167,0.24988148,P
store,0.4272903700618465,0.44706342,P
fragrance,0.4250347721889665,0.37360632,P
coin,0.4976871396534374,0.39162037,P
dive,0.5513827145637148,0.42275786,P
hind,0.3596861694292275,0.25494727,H
hoot,0.4413856940833112,0.1825834,P
yellow,0.4186285238209034,0.47273993,P
tomb,0.389859736291174,0.22261891,P
shortcut,0.5744760614408024,0.37434915,P
flag,0.504252492531456,0.42416814,H
sanity,0.5180443836127696,0.11634114,P
toothpaste,0.4308758761779332,0.3741313,M
tank,0.5719296498675865,0.25896472,P
button,0.4595256135154332,0.48385072,P
condition,0.6144145101452196,0.29233256,P
imperative,0.5004644882865131,0.23571806,P
vest,0.4320836125642595,0.24497522,P
thirsty,0.5213665431305757,0.24009302,P
simmer,0.4321184447090694,0.38290244,P
nifty,0.4899943480407547,0.2110832,M
companion,0.5620091708156566,0.26576808,P
redundant,0.5728230456162788,0.112734556,P
impressive,0.4289812163014517,0.28574327,M
island,0.4684311603265793,0.36338195,P
cookie,0.3571708036266537,0.37900746,P
household,0.5621488370547797,0.26835445,P
puffy,0.4140850654395756,0.43404433,P
steer,0.5620773479007812,0.35090283,H
haystack,0.6042932708295358,0.37020883,M
near,0.4880227565933381,0.44264892,P
toxic,0.4070011166743959,0.20663482,P
comet,0.3690022860847143,0.25820306,M
cucumber,0.2482094695610529,0.33660755,P
horn,0.4228350018022428,0.40136352,P
pressure,0.5746130281147905,0.41723415,P
midget,0.585260077700443,0.40282363,P
ingenious,0.4425927146545477,0.17161626,P
scatter,0.5454371557453657,0.4268096,P
helmet,0.4576696408028303,0.16947097,M
population,0.544501189376117,0.14743216,P
differ,0.4849343869135823,0.31345406,P
honor,0.5170072255765789,0.24861978,P
guarantee,0.5080676474433342,0.19660689,P
squeeze,0.5296446345546628,0.48005322,P
album,0.2944875331160838,0.18088111,P
dispense,0.568827933467458,0.36332333,P
illegal,0.4904878501320722,0.10704086,P
chunk,0.5863693500151193,0.46837243,P
burden,0.5585829015329176,0.11476996,H
funk,0.3382463946084461,0.19266006,H
pitcher,0.3091844227359763,0.31368408,H
deception,0.4372542525271089,0.1757627,P
sinus,0.3592735649517729,0.17935142,P
terrace,0.3512017753672023,0.1719898,P
phrase,0.4063158072781639,0.15512992,P
farmer,0.4608654741185822,0.37733367,M
insulin,0.3332574987404856,0.12512483,P
warming,0.4973119048053387,0.44510582,P
sheep,0.3771568270697908,0.40667576,P
disappoint,0.5167642186646567,0.10114003,P
straw,0.5724693086962293,0.44081828,P
raisin,0.3556305516648422,0.3468534,M
replica,0.4822328857056444,0.18250003,P
crop,0.4530750992847373,0.28789902,P
olden,0.5810109724934512,0.24269299,M
nationwide,0.5620842274666711,0.16217045,M
supper,0.4400320104391194,0.3289585,P
pronounce,0.5257482529378722,0.12533991,P
level,0.6252572146362053,0.5099225,P
caress,0.4595145363895189,0.19295363,P
bumper,0.5505837420284483,0.2336636,P
grenade,0.4128788140678942,0.17635044,P
savior,0.50472923984715,0.16370133,P
sensible,0.4690271083045858,0.36217058,P
migraine,0.3526668776781608,0.12506837,M
certainty,0.5396561118462841,0.120651856,P
stress,0.4990119582577768,0.2643711,P
apparatus,0.6088625646036047,0.29996148,P
perk,0.5524128104465076,0.47017208,H
proximity,0.5666396020018319,0.21536703,M
operation,0.5871902445188857,0.34872323,P
formal,0.5779193697084705,0.29575655,P
unattended,0.5801787192248811,0.34923363,M
span,0.587028205470059,0.3500951,H
railway,0.3857375848451573,0.16482952,P
cloak,0.4554602145640091,0.22161186,P
deed,0.5817739018426263,0.12524888,P
cave,0.4640311930556426,0.24999559,P
muck,0.4376678449550442,0.16065529,P
nonstop,0.5662258212349374,0.37730655,M
mocha,0.3898004297300229,0.2933783,P
shield,0.5832398926136374,0.45077977,P
emphasize,0.4693608769463182,0.20097482,P
spouse,0.4696563786561246,0.15087733,M
unfinished,0.592827024410449,0.2033989,P
tease,0.456493240254462,0.30039996,P
tasteful,0.3722612637781022,0.23406237,P
runner,0.4778994652725743,0.37932372,P
snug,0.4227655735539514,0.4113557,P
horny,0.4860758085281809,0.13890408,P
fifty,0.3435480119951626,0.43953696,P
youth,0.546550315257984,0.19293056,P
previous,0.6220822153416294,0.43137267,P
sock,0.4997550172377836,0.42576426,H
hull,0.4101297459450819,0.41763487,H
block,0.6036899704411647,0.4985497,P
velvet,0.3543616777288608,0.3625001,P
bright,0.4329754001109699,0.44059908,P
grub,0.4729001273592253,0.18503906,P
etiquette,0.545354155511555,0.12927552,M
relative,0.5812291827020446,0.27460375,P
immigrant,0.5141375805581896,0.15465857,P
unwind,0.5969948755759183,0.27504325,P
profile,0.6309170002392503,0.25697502,P
gasp,0.5191386305349253,0.17989613,P
pretend,0.4252816942137232,0.26034445,P
fatigue,0.4341653060501137,0.20622844,P
grizzly,0.3714897312177171,0.21316372,P
league,0.461331088527434,0.25514528,H
gland,0.2877335309930569,0.25889155,P
thread,0.4748611336016349,0.50765145,P
cinnamon,0.2621844894996703,0.36406457,P
assumption,0.4860689001148439,0.10802765,P
slave,0.4884517095086276,0.10590754,P
roommate,0.4260996457496601,0.10585887,M
accessory,0.5927203730335899,0.34610978,P
overdose,0.4386106534135098,0.16696224,P
borrow,0.5140650892529135,0.1580229,P
pelvic,0.3516251733220222,0.17703481,M
bullet,0.5064608401837943,0.3644208,P
mystery,0.4970084953160567,0.23443446,P
optimism,0.4617234317387232,0.16038904,P
beef,0.4310168547412745,0.35754195,P
necessary,0.5130227536913824,0.4102439,P
watermelon,0.3047529737493616,0.34027377,P
metal,0.4761390231524845,0.46269444,P
firm,0.5084651534393041,0.44352242,H
include,0.5325283783450814,0.44526315,P
minimal,0.5127179374453413,0.40496483,M
snot,0.5018766477013407,0.15675397,P
jug,0.471054176023546,0.40243775,P
furious,0.4463756903063264,0.29754132,P
dense,0.4425097691183589,0.36214188,P
boost,0.485768102203979,0.3280535,P
perky,0.3624493352781128,0.3347355,M
breath,0.5202074589422937,0.35057122,P
wad,0.5020905421141378,0.44527635,P
warehouse,0.482696860021748,0.19280937,P
rate,0.5305185370702158,0.45341447,H
bend,0.5358340208371345,0.3862859,P
watering,0.5461834464068991,0.32909593,P
evidence,0.474958967024383,0.20560597,P
safari,0.5277143248872708,0.17563587,P
argument,0.4806848599187507,0.1651571,P
glimpse,0.542361488136095,0.1545245,P
plaid,0.2755815800421717,0.17610975,P
frequency,0.3888790182551333,0.34611782,P
cathedral,0.3851826260740358,0.19558759,P
football,0.4777305163433869,0.36895216,P
consult,0.5180308239925754,0.27024078,P
kindness,0.4247072969233537,0.41667268,P
karate,0.4193589545341007,0.15811302,M
intensive,0.595109912431056,0.16585085,P
headache,0.4678031337632207,0.13147752,P
excellence,0.5052596529297069,0.19980974,P
tempo,0.4798745951688463,0.22163755,P
powerful,0.5904189517007147,0.35535392,P
stabilize,0.4983219020174287,0.47542056,P
ferocious,0.4679823135890377,0.15703566,P
renowned,0.4529247292647389,0.14033838,M
fan,0.5732603192715835,0.39937723,H
acre,0.4122119888674834,0.22714706,P
slant,0.5604293112625023,0.3255572,P
spa,0.4671773604394974,0.24013008,P
scorpion,0.4052243056280384,0.25664327,P
delivery,0.6211982873341589,0.228547,P
assign,0.5325053355859114,0.1557836,P
matrimony,0.5131837893971223,0.1366185,P
prostate,0.3533503521869107,0.1417356,P
arrest,0.4684246691621251,0.35217676,P
await,0.5589961457426825,0.27230743,P
tape,0.4918732629219221,0.33112687,P
cowboy,0.4457066102991829,0.3175611,P
scum,0.5187285012239804,0.42302486,P
dawn,0.5066946784681486,0.26230204,P
monkey,0.4049374881551598,0.42396167,P
version,0.4940737961274851,0.3111303,P
kangaroo,0.4769381901579441,0.34947753,M
stubborn,0.493770187652027,0.32350326,P
charge,0.6016840902766358,0.33944222,P
lump,0.5901665247608695,0.52734125,P
stingy,0.5401641779976724,0.34282744,P
prompt,0.515431109977456,0.1320224,P
fork,0.5079974257699115,0.47231784,P
range,0.5880001063654172,0.4275041,P
vanishing,0.5574606208324947,0.15405528,P
explosion,0.4661930407409571,0.39613837,P
remedy,0.533403441206698,0.27354136,P
merchant,0.4780420349915784,0.14786775,P
ensemble,0.4016981840074212,0.2949093,P
void,0.5872411220019153,0.36566597,P
skull,0.3777142853135832,0.26204798,P
creature,0.3652299894045541,0.2218711,P
mechanism,0.5156802030372779,0.4250105,P
bun,0.3764914914706068,0.39911914,P
sample,0.5281596818450864,0.41938344,P
sting,0.6160748260364568,0.34051946,P
gunpowder,0.4792427017421045,0.22602989,M
drunken,0.463699372267321,0.3317768,P
cook,0.3623095597594206,0.44606254,P
conceal,0.4856855418507382,0.21213585,P
ugly,0.4413701655869398,0.3848211,P
lace,0.2855135182444437,0.38921273,P
crisp,0.4179691819149804,0.46196687,P
mambo,0.414409937888082,0.123938695,P
corral,0.5646932232794721,0.36745498,P
jet,0.3792057558047015,0.3715366,H
toss,0.5482168685151481,0.39920294,P
quit,0.5490446087128689,0.2892091,P
tickle,0.4760838424183666,0.1612525,P
harp,0.3663415083382875,0.2192136,P
indulge,0.4610624512370687,0.29678705,P
pun,0.4468220415016374,0.23923787,P
brig,0.3784646885467703,0.22238187,P
vet,0.5888535983613084,0.16408981,H
search,0.5448064404586019,0.22349343,P
partner,0.5877847658112203,0.2313889,P
generation,0.5893651987588744,0.26618156,P
behalf,0.5812431907831707,0.21236615,P
outer,0.4389283463047754,0.3831417,M
abroad,0.6214277772251353,0.17189306,P
draft,0.5622573533299008,0.4355487,P
deliver,0.5818161291371884,0.25273532,P
soup,0.2838799327437837,0.38970938,P
hedge,0.4762401689471939,0.18336065,P
springtime,0.4858711906045979,0.32115448,P
grind,0.552784112892162,0.40042913,P
junkie,0.465793221178913,0.16185161,P
buff,0.4839546854005375,0.32232758,H
salvation,0.4172855694759558,0.15413499,P
clearance,0.6253223480220719,0.3800234,P
calculator,0.4902780666191515,0.16351804,P
commission,0.5353754699918484,0.20913778,P
convince,0.4669310524306406,0.09185147,M
shameless,0.3622675485627517,0.16782108,P
upside,0.5858611759831591,0.4831332,P
collar,0.4395401500471385,0.4055944,P
tool,0.5308360177975935,0.3716303,P
dazzle,0.4584446139250264,0.2285676,P
powder,0.4319518513342723,0.34740403,P
larger,0.5083003529934645,0.43382046,P
bout,0.4096409133706939,0.4462799,P
kerosene,0.4726294920821137,0.5189715,M
finger,0.4750657907314007,0.4099576,P
flesh,0.4722654712991182,0.43591952,P
pearly,0.4385097358794971,0.34298557,P
hoop,0.4973266397798103,0.35333908,P
internal,0.6211557153552943,0.3329237,P
goody,0.5393691651036694,0.21384373,P
native,0.535588307668387,0.27014074,P
torture,0.4540804458195444,0.16173726,P
breast,0.3867815106576902,0.34071982,P
sling,0.4650806725342341,0.47229707,H
prime,0.5340306817539932,0.3512399,P
fond,0.4570831307405092,0.44309184,P
peasant,0.498193823206022,0.34632683,P
stink,0.5127164970173888,0.17945357,P
likelihood,0.5137642158092182,0.22458953,P
thunder,0.5344887618510615,0.22612108,P
ledge,0.4320577481334262,0.24612892,P
kinky,0.424043618099601,0.23432839,P
trot,0.5202195614146611,0.14326693,P
television,0.4384571524477911,0.18860851,P
punishment,0.5104449070959928,0.16942471,P
cousin,0.3530660621104852,0.2344021,P
flute,0.2743324198730784,0.4467579,P
enemy,0.5166205365563431,0.24453463,P
short,0.6144185548124281,0.46738258,P
swell,0.5303035552927625,0.4432407,P
shirt,0.3332372953127864,0.23303743,M
southwest,0.3834029330545847,0.29526156,P
rearrange,0.523590323109216,0.49578434,P
coherent,0.485421978553934,0.21965677,P
hydraulic,0.3815694086948993,0.30255076,P
rodeo,0.4809053914368633,0.13072464,M
fearless,0.3976447358980548,0.21166612,M
greasy,0.4297402507395882,0.32745343,P
sneeze,0.4972632628936458,0.13524592,P
turban,0.437482350413889,0.35548878,P
removal,0.5588483104773246,0.46054685,P
confuse,0.456269923698287,0.2589902,P
female,0.5752580894649736,0.23056766,P
minimum,0.5439298515503553,0.4511904,P
nap,0.4828513161307423,0.4459568,H
untie,0.5778700214772846,0.42054206,P
suction,0.4075626117660528,0.29851094,P
butcher,0.4529847989203307,0.40078786,P
historic,0.5677143424519098,0.1305812,P
demon,0.3247400994260455,0.18527602,P
quest,0.5320422932401978,0.20167135,P
tact,0.4340307427261923,0.37112466,M
residual,0.5281606241233979,0.413438,P
series,0.5242991032888045,0.40955126,P
occasion,0.5461130532889263,0.4380279,P
pout,0.4954750595017123,0.42827782,H
gratitude,0.4564990500475852,0.18481942,M
buffer,0.5758453743817981,0.19977145,H
magnet,0.609895452627748,0.2225235,P
royalty,0.588027993554927,0.1855986,P
instrument,0.4714119339469168,0.32735372,P
dome,0.4043704678176514,0.4110754,P
decline,0.4504097990442681,0.1104991,P
blade,0.4090000418908903,0.4050131,P
baseball,0.4434445176110076,0.34665897,P
patch,0.5515326582656118,0.48848262,P
puny,0.5200491450668878,0.14461127,M
trigger,0.525406533493495,0.2616499,P
domain,0.557183325161616,0.1514178,P
enlighten,0.4799761755660015,0.1623756,M
slam,0.4921111905695248,0.3897374,H
apparent,0.579880180779302,0.31397617,P
bandit,0.4931545720992026,0.14684936,P
lush,0.3903652201793202,0.41597065,P
spotless,0.5267271591005481,0.21971937,P
heap,0.519375951827561,0.46740568,P
corkscrew,0.4960049768189985,0.40621743,P
triangle,0.4892890905674634,0.31174648,P
classic,0.4654556921419964,0.2798397,P
swim,0.4789246575143104,0.3738969,P
allergy,0.3841404221356908,0.25762376,M
wealth,0.5456625967820145,0.15569271,P
bathtub,0.4542276980632582,0.35911217,M
haste,0.5642314040818709,0.1433429,P
sketch,0.4985115795405186,0.19922122,P
weep,0.4536469875305098,0.41387337,P
gross,0.574722401259849,0.2631856,P
wallpaper,0.391925090955826,0.34486744,P
hen,0.4471013018412539,0.3722704,M
indication,0.5186488314953308,0.27839863,P
inventory,0.5608034462909012,0.12974995,P
spice,0.4077057902072703,0.44449127,P
lemon,0.240101083355266,0.34773517,P
union,0.5013377217608138,0.33887702,P
utility,0.5427462723603692,0.48365557,P
suspension,0.5774497671034059,0.29349065,P
shiny,0.3620326553846222,0.40537655,P
snowy,0.4431452632906023,0.4398103,P
approval,0.5580354420195067,0.1552781,P
dry,0.4524896057581764,0.467066,P
organic,0.4312218233051438,0.36914468,P
publisher,0.4700802283971546,0.16154957,P
batter,0.4412498066084102,0.4177122,H
pill,0.403209227244597,0.28652382,P
espresso,0.3856931808389734,0.35315162,M
switch,0.5531057437650354,0.46467224,P
nuisance,0.5348443574359898,0.20027213,M
memo,0.4930854414751393,0.15719177,M
scientific,0.4589745863195069,0.12641673,P
breather,0.5461840768634996,0.11932823,P
yoga,0.427413770928832,0.21347477,P
expensive,0.4660174172899194,0.298202,P
scrape,0.5154051278646822,0.49307263,P
sod,0.5040281537337861,0.09286922,P
boast,0.5377893731596182,0.20307909,P
forward,0.6038440195659456,0.37205026,P
retail,0.4702210652263814,0.2929248,P
attempt,0.5241603832295363,0.32095128,P
spot,0.6319684895086557,0.43016136,P
bridal,0.4842480980603221,0.27146664,P
luncheon,0.494198286128626,0.42746827,M
filter,0.4400421498239699,0.3775018,P
taste,0.4282329774698837,0.3051367,P
fertilizer,0.4515561052037217,0.16627197,P
intuition,0.4084017285106905,0.14347556,P
factor,0.5447884892168621,0.26975617,P
pure,0.4961812570661426,0.38970783,P
washer,0.4488236818648765,0.2722418,P
defective,0.5366300573091451,0.35608062,P
tramp,0.5113870787166538,0.15907496,P
brand,0.4858477223733974,0.42241165,P
washed,0.4898712017005578,0.4303379,P
rendezvous,0.5265647728033498,0.20082065,P
rhythm,0.4257269749404962,0.24282394,P
impossible,0.5043651920949305,0.44823048,P
certain,0.5024688627889929,0.37801543,P
magic,0.44869019933872,0.37393707,P
puddle,0.4455900193352361,0.45621985,P
artistic,0.4493237829169362,0.23148507,P
guide,0.5587360501214639,0.3886502,P
bush,0.4747841469196031,0.43324262,H
cinch,0.5764621749965506,0.2976929,P
poop,0.509489412441365,0.24651414,H
delay,0.5257159390108435,0.413187,P
district,0.5009778914535342,0.16899458,P
double,0.5774827338929501,0.47898397,P
moat,0.4114436129214844,0.31814763,M
cycle,0.6318393500586934,0.39092064,P
crush,0.5634242540281491,0.46183792,P
cry,0.4840454001579629,0.2947777,P
ploy,0.4975293561212112,0.27877444,M
maroon,0.3860030513872346,0.31124318,H
discretion,0.5405967687218349,0.33030564,P
flat,0.5775677492816785,0.392245,H
petite,0.4503645194594945,0.47721958,P
infamous,0.5365028001102781,0.16523334,P
register,0.5915488524928562,0.30670074,P
oral,0.5599451920294757,0.13151461,P
eldest,0.3581086164615943,0.106561765,M
ladder,0.5722049811151348,0.2748641,P
applause,0.4365536896078716,0.2483753,P
cleaver,0.4905255329496291,0.41492957,M
assistance,0.5447425818124081,0.24863905,P
butterfly,0.4538264337743408,0.43122092,P
floss,0.4721022024386815,0.40395105,P
bum,0.4768839496214065,0.3261637,P
joint,0.5931446562240005,0.33463237,P
quickie,0.5948683940438272,0.22928981,M
gravel,0.4116402495204338,0.41706675,P
single,0.5555395832284961,0.47928098,P
overlook,0.5450195806940428,0.11884205,P
match,0.4626559740712209,0.42003372,H
build,0.5076682155619366,0.47015685,P
lift,0.5854903097832664,0.39952332,P
culprit,0.5783964280821113,0.14894988,M
volume,0.6016992449384404,0.43822724,P
insect,0.2990438306432313,0.19774096,P
admire,0.4446851701528347,0.27875116,P
choose,0.5192256762609074,0.34720016,P
eyebrow,0.4758129932291187,0.16994333,P
tan,0.4080777898620315,0.39398205,P
shower,0.4978175785679933,0.46256444,H
tofu,0.2783704817774476,0.37990656,M
succeed,0.560679176322244,0.11642991,P
importance,0.5158770653845712,0.15699811,P
bikini,0.364874958536243,0.27801502,M
customer,0.5026196620369068,0.11224617,P
trail,0.5442539274978446,0.53122675,P
creep,0.5364203708923951,0.25987443,P
exact,0.5425531838225633,0.33405343,P
dip,0.5222957289727678,0.49673843,P
mush,0.46304784471046,0.42628178,H
tooth,0.4267839467734615,0.49987316,P
glow,0.4176991146975102,0.4703782,P
lobster,0.3083347252147401,0.36479446,P
leader,0.5661701494286987,0.12993275,P
demo,0.4329856195271607,0.14085093,P
viewer,0.5035433747114858,0.5229478,P
chase,0.5419858749173314,0.25888127,H
upstate,0.4593825849373031,0.16979444,P
dependent,0.5304229180404387,0.3504081,P
candy,0.3625857080837621,0.3745228,P
immature,0.4946219395199743,0.24866323,P
exposure,0.5311283154457054,0.30120486,P
pipe,0.4774727943698273,0.34948775,H
definite,0.5198224552717733,0.50699747,P
chaos,0.4818697560960471,0.16446751,P
wilt,0.5392676418910416,0.42040646,P
monthly,0.5580734954532062,0.14166792,P
moisture,0.4060329189212007,0.4352907,M
runaway,0.6224743487794996,0.19456688,P
stock,0.4907452945367865,0.36750343,P
ruse,0.4769953479217128,0.18608174,M
resource,0.5249456703084655,0.1527142,P
drift,0.5275556211690932,0.2309868,P
patience,0.5042045811257896,0.34882447,P
winter,0.4804761832138721,0.3871537,P
cloudy,0.4836132292800909,0.38327953,P
proprietor,0.4724515510876053,0.11152916,P
faucet,0.4614693079978412,0.41004667,M
score,0.5281338324093434,0.38989356,P
rug,0.4624408528114327,0.25694734,P
hut,0.4459407828445484,0.31403577,P
hatch,0.5034997627603905,0.40385327,H
philosophy,0.3770548909428504,0.1037812,P
file,0.5655435829112094,0.45018414,H
spiral,0.5564593733253524,0.3569738,P
grave,0.5336908532722042,0.22675794,H
fish,0.2845693278730747,0.33017644,P
disaster,0.5070133984282998,0.19563629,P
affection,0.4026785551851299,0.18533207,P
cobbler,0.4390512355557709,0.3879358,P
liberty,0.498245048570806,0.17436232,P
hopeless,0.4616683740517244,0.12894441,P
shank,0.4432157071958458,0.35772187,P
bakery,0.4072958629474676,0.32178712,M
worm,0.4509397057497787,0.3256234,P
arrival,0.5723146375164709,0.16832197,P
enlist,0.532125682899548,0.1390832,P
spy,0.5076320128809736,0.23959492,P
giant,0.5833951576882158,0.38468972,P
coil,0.3694736136654093,0.30454123,H
backbone,0.5966505809441105,0.3165577,P
consistent,0.5050488846704533,0.4150417,P
post,0.6338456809135046,0.2857056,H
revolution,0.536218121688277,0.23979363,P
imply,0.4272365137752599,0.14259624,P
fuss,0.5215571976029072,0.34702027,P
wizard,0.4591572077107542,0.23283318,P
diamond,0.5081855095067288,0.38276547,P
overrun,0.5133923085267924,0.14683524,P
alligator,0.3931744870668532,0.38153985,M
amuse,0.4484490707494428,0.21731836,P
float,0.5559581324980793,0.52385515,P
efficiency,0.4873048748183038,0.24405596,P
extension,0.576120560342198,0.2238642,P
chapel,0.354684918496039,0.1466547,P
display,0.5325300475692276,0.38298717,P
needle,0.497014920711962,0.37818328,P
depression,0.470017258303596,0.42301804,P
brittle,0.4837632144389532,0.4452726,P
equation,0.2752205317054592,0.15162316,P
fail,0.5354300590869944,0.42493665,P
claim,0.5241724488488607,0.21910042,P
canary,0.4991042561775583,0.23061383,P
guitar,0.2607609602862805,0.21941605,P
exotic,0.4831438814163086,0.32346725,P
stream,0.5023588076708456,0.45298192,P
camp,0.5268983159850662,0.3743858,H
elusive,0.5555980454236835,0.16266055,P
smelly,0.4251419234371825,0.19705495,M
customary,0.596586607110995,0.23259336,P
mood,0.4899536695028774,0.30062065,H
spank,0.5551861939875657,0.3184372,H
cocoa,0.4839640755728563,0.36083108,P
lollipop,0.484057256008686,0.35924792,M
bulb,0.4666533386338736,0.4011775,P
prison,0.433400914837264,0.20517513,P
science,0.4482752481521039,0.26220515,P
spatter,0.5515241440729487,0.3941153,P
vegetable,0.3290584064320168,0.42283192,P
experience,0.5092495967583833,0.21298338,P
steam,0.4619630628481994,0.4815757,P
curb,0.4827620150972206,0.13704957,P
dibs,0.6308637419783173,0.23253006,P
relocate,0.532864812084614,0.18789221,P
mermaid,0.4846224682235626,0.26023787,M
nude,0.4240621719731302,0.23727138,P
habit,0.5526782891698098,0.16243224,P
spend,0.5608530036433435,0.32879856,P
sorority,0.5096198336272192,0.1612662,M
glance,0.6011967676002727,0.16274792,P
stressful,0.5004143176601382,0.118402615,M
dairy,0.4366830113959925,0.4028044,P
tradition,0.4940037115665988,0.25015458,P
detector,0.4247433790480944,0.20262076,P
clash,0.526345120325521,0.16359828,P
creator,0.4702861131986093,0.11758586,P
sunshine,0.502039370705729,0.3433139,P
spoon,0.3867767428428629,0.4834678,P
elect,0.5059718450114972,0.2651101,P
hack,0.5608937307812051,0.31336924,H
screw,0.4593956349179012,0.42089435,P
strain,0.5180427108589217,0.40588623,H
honest,0.4412982152971849,0.20358229,P
meticulous,0.4696198916251105,0.13343932,M
unsafe,0.5339886329924838,0.14315198,P
curse,0.4848356827269529,0.097623274,P
ratio,0.5441047374809852,0.39764464,P
fear,0.4572868473579343,0.25222695,P
perimeter,0.5081873904280032,0.3789035,P
breeze,0.5194117712282039,0.39411485,P
hefty,0.5258468928384604,0.4259356,P
microwave,0.4624612671504853,0.35475078,P
blossom,0.4649006679408823,0.45204908,P
cardboard,0.4275712481915625,0.35279858,M
apartment,0.4207065256109488,0.16420832,M
analogy,0.4552978215489582,0.103458546,P
infrared,0.3603746969578011,0.26549843,P
initial,0.6239347890185631,0.33288497,P
jog,0.5044989953992366,0.23003536,H
invent,0.4920412446210239,0.14066409,P
ogre,0.4687510550601773,0.2646802,P
cheap,0.4932536342407155,0.28911737,P
tab,0.5764799483066537,0.48007274,P
cheese,0.2419744066023517,0.32080948,P
rural,0.5145234414835094,0.14181152,P
inspect,0.541937162433269,0.43241006,P
nursery,0.5168842841188287,0.14005353,P
riot,0.4359256979224977,0.19164878,P
jellyfish,0.3469957213181859,0.35729527,P
strap,0.3826649652528539,0.29515687,P
product,0.5417784815455415,0.4805215,P
apologize,0.445757430810443,0.13961317,P
salute,0.4850943540743399,0.3611032,P
payday,0.5683026825886867,0.23271337,M
gallery,0.4524636274429033,0.20036386,P
stallion,0.3939490949737921,0.19750535,M
disrupt,0.4755525078665083,0.26375902,P
diameter,0.372701320224624,0.33021954,P
hallway,0.3884478949122124,0.20815678,P
conscience,0.5150054800819581,0.19410068,P
absorb,0.5222908708845231,0.46916687,P
zing,0.4698897655574077,0.32674703,P
ridiculous,0.3683037520635263,0.18652712,M
